"","GEOID","Pop_total","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per"
"1183","06037405203",3638,35.0850546780073,13.3408387278356,16.4,19.9285321605278,0,0.68719076415613,9.75810885101704,68.9939527212754,0
"1184","06037405301",3469,22.8930432117683,12.0495820121072,4.3,17.0077832228308,0.201787258575959,2.94032862496397,10.0317094263476,67.9158258864226,0
"1185","06037405302",5433,17.9766382894476,10.8162889257417,7.8,18.7925639609792,0,2.19031842444322,9.93926007730536,67.7158107859378,0
"1186","06037405400",4950,15.6686834967661,3.4208918753818,4,8.2020202020202,0.707070707070707,1.75757575757576,12.4040404040404,75.6565656565657,0
"1187","06037405500",6596,20.3117309269893,5.86804499847978,3.2,21.2098241358399,0.151607034566404,0.77319587628866,13.7204366282596,61.8253486961795,0.909642207398423
"1188","06037405600",5553,21.0370077181872,4.66311731228199,4,20.5834683954619,0,2.37709346299298,13.9564199531785,62.704844228345,0
"1189","06037405701",3862,18.5969738651995,1.32295719844358,7.7,15.3029518384257,0,0,14.7074054893837,69.0574831693423,0
"1190","06037405702",4957,16.5110356536503,4.35747427879766,5.2,18.0149283841033,0,7.82731490821061,13.8793625176518,55.981440387331,0
"1191","06037405800",5825,23.8667394866193,5.12997073506628,7.1,9.83690987124464,0,1.13304721030043,15.1759656652361,68.0343347639485,0
"1192","06037405900",3951,20.3472599023332,11.5071283095723,10.3,11.5160718805366,0,2.48038471273095,18.8812958744622,64.8443432042521,0.658061250316376
"1193","06037406000",5206,15.1260504201681,6.05101839035001,5.3,11.6404149058778,0.403380714560123,1.61352285824049,23.7418363426815,60.0653092585478,0.249711870918171
"1194","06037406101",3105,10.6427818756586,6.90800398538692,4.4,9.82286634460548,0,3.60708534621578,21.1272141706924,60.4186795491143,1.93236714975845
"1195","06037406102",6167,11.9419042495966,11.4966758553592,8.9,8.49683800875628,0,3.9241122101508,14.9181125344576,70.8610345386736,0.243230095670504
"1196","06037406200",5811,29.0794223826715,16.7588791718722,8,19.4286697642402,0,3.94080192737911,14.4553433144037,60.4715195319222,0
"1197","06037406300",5829,21.4039542898603,10.3619831875107,7.2,33.5220449476754,0.154400411734431,1.66409332647109,20.2436095385143,37.896723280151,0
