"GEOID","Pop_total","Limited_Eng","B16004_001E","Poverty","B17021_001E","Uninsured","B27010_001E","NonHisp_asian","NonHisp_pi","NonHisp_black","NonHisp_white","Hisp","NonHisp_ai","Male","Female","Age_5under","Age_5to14","Age_15to17","Age_18to20","Age_21to64","Age_65above","vac_per"
"060371287022",1294,15,1269,120,1294,65,1294,78,0,133,943,124,0,661,633,25,59,48,16,834,312,71.5
"060375035012",2763,247,2664,274,2763,238,2763,242,0,61,528,1789,0,1353,1410,99,447,200,153,1614,250,58.3
"060375035024",1312,21,1276,97,1270,28,1304,31,0,2,455,776,48,583,729,36,124,196,31,755,170,62
"060375035023",1135,109,995,104,1135,44,1135,68,0,1,191,837,0,527,608,140,116,59,31,670,119,58.3
"060371173011",1728,62,1621,45,1728,72,1713,586,0,31,634,397,0,709,1019,107,190,7,45,1182,197,58.1
"060371174043",2512,242,2363,364,2496,250,2505,385,0,3,683,1240,0,1208,1304,149,264,67,102,1694,236,58.1
"060375300041",676,126,597,0,676,9,676,252,0,0,21,403,0,297,379,79,24,8,32,389,144,62.1
"060375309013",1191,205,1121,99,1112,265,1191,0,0,0,19,1172,0,640,551,70,187,65,49,732,88,59
"060375530001",774,27,689,9,768,8,774,15,0,25,123,584,0,385,389,85,82,33,37,424,113,61.9
"060375530003",1702,143,1588,82,1702,73,1702,172,33,23,257,1206,0,732,970,114,94,50,119,1066,259,61.9
"060375534002",1503,121,1449,26,1503,172,1503,34,0,1,115,1353,0,697,806,54,199,21,26,1020,183,64.3
"060375538012",946,70,875,329,946,140,946,0,0,338,0,608,0,491,455,71,209,43,56,489,78,55.2
"060375545151",1468,43,1455,26,1468,0,1468,629,0,127,225,390,0,649,819,13,182,57,7,802,407,75.9
"060375542031",1279,132,1166,0,1189,96,1189,46,0,19,487,727,0,647,632,113,210,109,47,669,131,56.5
"060375541051",2454,181,2228,310,2454,271,2454,246,0,803,267,1031,56,1066,1388,226,336,92,109,1521,170,56.5
"060375541042",1378,81,1333,347,1378,120,1378,67,0,309,167,812,0,729,649,45,180,89,74,883,107,56.5
"060375303021",1082,126,1036,107,1063,94,1082,30,0,42,0,1010,0,537,545,46,92,11,26,762,145,59
"060375321021",2305,369,2117,131,2300,174,2300,112,0,4,25,2164,0,1112,1193,188,220,141,107,1379,270,62.1
"060375339012",2119,297,1910,903,2119,113,2119,0,0,9,15,2095,0,942,1177,209,475,98,112,1136,89,55.5
"060375340013",662,205,621,207,662,89,662,0,0,0,0,652,10,318,344,41,140,26,0,316,139,55.5
"060375344062",2322,597,2023,479,2302,425,2322,0,0,9,49,2264,0,1161,1161,299,483,156,121,1199,64,53.9
"060375345023",1828,440,1713,394,1828,209,1828,0,0,0,15,1813,0,865,963,115,347,88,83,930,265,55.2
"060375351011",1954,552,1686,743,1954,242,1954,0,0,87,29,1810,0,1105,849,268,363,108,188,805,222,53.2
"060375351013",1259,420,1139,350,1239,166,1259,0,0,113,0,1095,0,721,538,120,208,84,0,720,127,53.2
"060375356041",1650,427,1465,429,1650,346,1650,0,0,0,10,1640,0,737,913,185,287,57,89,931,101,60.1
"060372713004",576,0,546,21,576,0,576,109,0,0,365,102,0,319,257,30,12,0,29,413,92,72.4
"060372966001",1596,269,1386,447,1580,269,1596,57,0,2,144,1393,0,855,741,210,269,86,88,773,170,54
"060376211042",593,0,562,47,593,138,593,16,0,0,534,43,0,414,179,31,2,4,2,479,75,75.2
"060376211044",2140,0,1996,29,2140,77,2104,54,0,96,1812,95,19,1082,1058,144,87,44,0,1638,227,75.2
"060376210042",1342,88,1316,100,1337,19,1337,47,0,3,1178,21,0,788,554,26,58,5,27,1085,141,75.2
"060376209041",501,0,480,10,501,14,501,7,0,0,494,0,0,253,248,21,61,12,12,318,77,78.2
"060376209044",1170,0,1118,61,1140,28,1170,22,0,0,958,43,0,607,563,52,247,22,35,616,198,78.2
"060376203052",1515,18,1266,39,1515,0,1515,312,0,0,1035,100,0,676,839,249,66,113,0,868,219,78.2
"060375031033",1116,121,1031,36,1116,311,1116,35,0,6,194,881,0,637,479,85,142,90,16,738,45,58.3
"060375028011",935,64,865,177,935,0,935,42,0,0,98,784,0,412,523,70,196,63,32,477,97,64.6
"060375734025",1810,181,1771,255,1810,187,1792,577,0,136,634,322,0,954,856,39,160,5,22,1274,310,67.8
