"GEOID","B16004_001E","B16004_001M","B16004_007E","B16004_007M","B16004_008E","B16004_008M","B16004_012E","B16004_012M","B16004_013E","B16004_013M","B16004_017E","B16004_017M","B16004_018E","B16004_018M","B16004_022E","B16004_022M","B16004_023E","B16004_023M","B16004_029E","B16004_029M","B16004_030E","B16004_030M","B16004_034E","B16004_034M","B16004_035E","B16004_035M","B16004_039E","B16004_039M","B16004_040E","B16004_040M","B16004_044E","B16004_044M","B16004_045E","B16004_045M","B16004_051E","B16004_051M","B16004_052E","B16004_052M","B16004_056E","B16004_056M","B16004_057E","B16004_057M","B16004_061E","B16004_061M","B16004_062E","B16004_062M","B16004_066E","B16004_066M","B16004_067E","B16004_067M","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B27010_001E","B27010_001M","B27010_017E","B27010_017M","B27010_033E","B27010_033M","B27010_050E","B27010_050M","B27010_066E","B27010_066M","B03002_001E","B03002_001M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_004E","B03002_004M","B03002_003E","B03002_003M","B03002_012E","B03002_012M","B03002_005E","B03002_005M"
"060371919021",1184,198,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,22,0,12,13,20,0,12,2,4,0,12,0,12,0,12,1210,206,113,65,1210,206,0,12,26,27,0,12,0,12,1210,206,87,57,0,12,0,12,900,190,136,65,1,4
"060371913021",1421,173,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,134,62,29,41,0,12,0,12,7,10,0,12,0,12,0,12,30,26,15,18,15,19,0,12,0,12,0,12,0,12,0,12,1534,174,224,95,1534,174,0,12,86,70,126,63,11,19,1534,174,328,111,0,12,9,10,432,103,734,202,0,12
"060371913012",1678,225,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,191,95,61,50,0,12,0,12,27,22,0,12,0,12,0,12,13,14,7,11,6,9,0,12,8,11,0,12,0,12,0,12,1780,250,517,183,1785,249,5,10,45,40,180,76,0,12,1785,249,293,96,0,12,114,65,214,60,1158,243,0,12
"060371908022",697,197,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,123,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,704,199,101,50,704,199,0,12,43,40,9,14,0,12,704,199,39,42,0,12,39,43,206,81,420,199,0,12
"060371892021",772,233,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,790,232,55,73,790,232,0,12,0,12,0,12,0,12,790,232,119,71,0,12,0,12,565,219,75,80,0,12
"060378002031",1740,258,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,5,7,0,12,8,14,0,12,0,12,0,12,2,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1790,268,94,89,1790,268,11,18,7,10,10,17,0,12,1790,268,68,65,0,12,0,12,1540,221,170,136,0,12
"060377001021",1277,289,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,65,106,0,12,0,12,0,12,0,12,0,12,0,12,0,12,73,72,17,29,0,12,0,12,0,12,0,12,1305,291,201,153,1327,292,0,12,0,12,55,51,0,12,1327,292,45,54,0,12,95,122,1004,311,84,64,0,12
"060379203373",1741,384,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,14,10,18,0,12,0,12,27,43,0,12,0,12,0,12,18,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1941,404,520,225,1941,404,12,19,126,58,22,35,0,12,1941,404,329,254,0,12,207,179,480,166,820,324,0,12
"060374061024",1459,417,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,39,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1536,443,37,67,1536,443,17,27,95,76,101,88,0,12,1536,443,183,134,0,12,0,12,278,135,1075,418,0,12
"060379012091",1567,288,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,6,0,12,6,8,0,12,9,14,0,12,0,12,0,12,1,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1610,311,152,84,1634,305,20,26,35,33,57,58,0,12,1634,305,45,40,0,12,55,65,922,170,540,299,11,16
"060375769042",1464,347,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,27,0,12,0,12,0,12,12,19,0,12,0,12,0,12,1465,353,414,219,1495,353,11,18,105,68,49,52,0,12,1495,353,113,75,0,12,256,147,583,184,408,179,0,12
"060374636011",626,154,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,18,0,12,0,12,0,12,653,177,100,64,653,177,0,12,23,31,0,12,0,12,653,177,126,72,17,26,54,52,343,111,61,47,0,12
"060378003326",1198,366,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1198,366,14,27,1198,366,0,12,0,12,0,12,0,12,1198,366,153,108,0,12,0,12,889,364,15,28,0,12
