"GEOID","sd_2021","sd_2021_area"
"060371060201","3",0.999999999997892
"060371060202","3",0.999886254993689
"060371061111","3",0.999999999998431
"060371061112","3",0.507283039839151
"060371061121","3",1.00000000037966
"060371061122","3",0.997143296872703
"060371061131","3",1.00000000000546
"060371061132","3",1.0000000000022
"060371061141","3",1.00000000003024
"060371061142","3",0.999999999997705
"060371064031","3",1.00000000000202
"060371064032","3",1
"060371064033","3",0.999999999999963
"060371064051","3",1.00000000000182
"060371064052","3",0.999999999998799
"060371064053","3",0.999999999134775
"060371064061","3",0.999694412471126
"060371064062","3",0.999999999999491
"060371064063","3",0.999999999998319
"060371064071","3",1.00000000000456
"060371064072","3",0.999999999993602
"060371064081","3",1.00000000000036
"060371064082","3",0.999999999997485
"060371065101","3",1.00000000000092
"060371065102","3",0.999999999999551
"060371065103","3",0.999323804167217
"060371065201","3",1.00000000000028
"060371065202","3",0.999999999999738
"060371065203","3",1.0000000000024
"060371066031","3",0.999403844945171
"060371066032","3",0.545438788582075
"060371066041","3",1.0000000000011
"060371066042","3",1.00000000000075
"060371066043","3",1.00000000000221
"060371066044","3",1.00000000000015
"060371066411","3",0.99999999999966
"060371066421","3",1.00000000000111
"060371066422","3",0.999999999998262
"060371066423","3",0.999999999999272
"060371066431","3",0.999999999992878
"060371066432","3",0.999999999997734
"060371066433","3",0.99999999999515
"060371066451","3",0.99999999999612
"060371066452","3",1.0000000000002
"060371066461","3",0.999999999879566
"060371066462","3",1.0000000000009
"060371066481","3",0.999999999998306
"060371066482","3",1.00000000000138
"060371066491","3",1.00000000000955
"060371066492","3",0.999999999995409
"060371070101","3",1.00000000023062
"060371070201","3",0.999999999999735
"060371070202","3",1.00000000000161
"060371081011","3",1.00000000000024
"060371081021","3",0.999999999999305
"060371081031","3",1.00000000000246
"060371081032","3",1.00000000000053
"060371081041","3",0.99474845311549
"060371082011","3",0.998401363389777
"060371082012","3",0.999948573441543
"060371082021","3",0.983705978632918
"060371091001","3",0.999999999994896
"060371091002","3",0.999999999998552
"060371092001","3",1.00000000000042
"060371092002","3",0.999999999996039
"060371092003","3",0.999999999998403
"060371093001","3",1.00000000000212
"060371093002","3",1.00000000000007
"060371093003","3",0.999999999995873
"060371094001","3",0.999999999998592
"060371094002","3",0.999999999997181
"060371094003","3",1.00000000000298
"060371095001","3",0.999999999998579
"060371095002","3",0.999999999999224
"060371095003","3",0.999999999998185
"060371096011","3",1.0000000000024
"060371096012","3",1.00000000363168
"060371096013","3",1.00000000001328
"060371096014","3",0.999999999995027
"060371096031","3",0.999999999999032
"060371096032","3",0.999999999999231
"060371096033","3",1.000000000001
"060371096041","3",1.00000000000046
"060371096042","3",1.00000000008627
"060371096043","3",1.00000000000014
"060371097001","3",0.999999999999301
"060371097002","3",1.00000000000068
"060371097003","3",1.00000000479434
"060371098001","3",0.999999999279134
"060371098002","3",1.00000000000055
"060371098003","3",1.00000000000072
"060371098004","3",1
"060371111001","3",1.00000000252181
"060371111002","3",0.999999999997095
"060371112011","3",1
"060371112012","3",1.00000000040516
"060371112013","3",0.999999999999543
"060371112021","3",1.00000000000205
"060371112022","3",1.00000000000111
"060371112023","3",0.999999999999343
"060371112041","3",0.999999999999045
"060371112042","3",1.00000000000012
"060371112043","3",0.999999999653737
"060371112051","3",0.999999999998455
"060371112052","3",1
"060371112053","3",1.00000000000076
"060371112061","3",1.00000000000092
"060371112062","3",1.00000000003869
"060371112063","3",1.00000000000043
"060371112064","3",1.00000000000167
"060371112065","3",0.999999999999957
"060371113011","3",1.00000000000048
"060371113012","3",0.999999999999852
"060371113013","3",0.999999999999156
"060371113014","3",1.00000000000575
"060371113021","3",1.00000000000224
"060371113022","3",0.999999998334001
"060371114001","3",1.00000000020428
"060371114002","3",0.999999999998801
"060371114003","3",0.999999999998135
"060371131011","3",1.00000000000089
"060371131012","3",0.99999999842944
"060371131021","3",1.00000000000053
"060371131022","3",0.999999999695122
"060371132111","3",0.999459715387963
"060371132112","3",0.999206100964549
"060371132121","3",0.99999999838732
"060371132122","3",0.999999999998537
"060371132131","3",1.00000000000028
"060371132132","3",0.999999999999402
"060371132311","3",0.999959957867084
"060371132312","3",0.999999999999392
"060371132321","3",0.999999999909805
"060371132322","3",1.00000000000088
"060371132331","3",1.00000000000015
"060371132332","3",1.00000000000025
"060371132333","3",1.00000000000107
"060371132341","3",1.00000000000021
"060371132342","3",1.00000000094125
"060371132351","3",0.988801793870255
"060371132371","3",0.999977634340415
"060371132372","3",0.999999999997311
"060371133011","3",1.00000000000011
"060371133012","3",1.00000000000043
"060371133031","3",1.00000000000082
"060371133032","3",0.999999999999493
"060371133211","3",0.999999999999749
"060371133212","3",0.999999999999729
"060371133221","3",1.00000000000012
