"GEOID","Pop_total","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per","Male_per","Female_per","Age_5under_per","Age_5to14_per","Age_15to17_per","Age_18to20_per","Age_21to64_per","Age_65above_per"
"060371918102",1499,23.1193926846101,17.6117411607738,27.8185456971314,0,0,11.2074716477652,22.4149432955304,63.8425617078052,0,52.3015343562375,47.6984656437625,3.33555703802535,9.80653769179453,2.8685790527018,2.46831220813876,77.3182121414276,4.20280186791194
"060372031001",638,9.86394557823129,29.3103448275862,14.2633228840125,2.19435736677116,0,0,0,94.2006269592476,0,38.7147335423197,61.2852664576803,7.83699059561129,30.4075235109718,7.83699059561129,5.01567398119122,46.551724137931,2.35109717868339
"060372035001",546,5.67514677103718,12.7777777777778,15.3419593345656,27.2893772893773,0,1.83150183150183,11.1721611721612,59.7069597069597,0,52.3809523809524,47.6190476190476,6.41025641025641,7.87545787545788,2.1978021978022,4.76190476190476,72.1611721611722,6.59340659340659
"060371092002",1135,2.15154349859682,1.93832599118943,1.58590308370044,31.4537444933921,0,0.176211453744493,29.6916299559471,36.1233480176211,0,52.15859030837,47.84140969163,5.81497797356828,18.5022026431718,0.79295154185022,1.76211453744493,58.7665198237885,14.3612334801762
"060371132121",1217,5.27225583405359,4.10846343467543,7.55957271980279,21.9391947411668,0,0,38.455217748562,34.9219391947412,0,49.5480690221857,50.4519309778143,4.93015612161052,8.46343467543139,4.68364831552999,5.83401807723911,56.861133935908,19.227608874281
"060371221202",2806,19.9417758369723,13.6493228795438,15.4668567355666,0.106913756236636,0,6.62865288667142,5.80898075552388,83.8916607270135,0,55.0249465431219,44.9750534568781,2.06699928724163,15.5024946543122,4.63292943692088,5.38132573057733,61.4041339985745,11.0121168923735
"060375359013",1622,24.0390879478827,32.1208384710234,8.19975339087546,0,0,0,0.493218249075216,99.5067817509248,0,41.0604192355117,58.9395807644883,5.36374845869297,21.8249075215783,2.21948212083847,1.84956843403206,57.7681874229346,10.9741060419236
"060371175201",4168,24.163372859025,36.6868198307134,17.0649287955588,7.36564299424184,0,5.7341650671785,4.07869481765835,82.2936660268714,0,49.1362763915547,50.8637236084453,8.94913627639155,18.7380038387716,6.4299424184261,4.94241842610365,57.5335892514395,3.40690978886756
"060371999002",1210,25.7918552036199,8.67768595041322,3.96694214876033,20.9917355371901,0,0.661157024793388,1.48760330578512,76.8595041322314,0,51.3223140495868,48.6776859504132,8.67768595041322,11.4876033057851,3.05785123966942,3.1404958677686,56.0330578512397,17.603305785124
"060372011203",807,13.9627659574468,5.7001239157373,1.36307311028501,5.45229244114002,0,0,9.78934324659232,84.7583643122677,0,62.9491945477076,37.0508054522924,6.81536555142503,7.55885997521685,2.3543990086741,3.59355638166047,63.3209417596035,16.3568773234201
